Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,SE_A10057_001,SE_A10034_001,SE_A10034_002,SE_A10034_003,SE_A10034_004,SE_A10034_005,SE_A10034_006,SE_A10034_007,SE_A10034_008,SE_A10036_001,SE_A18009_001,SE_A18003_001,SE_A10037_001,SE_A10037_002,SE_A10037_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"06037209401","14000US06037209401","Census Tract 2094.01","Census Tract 2094.01, Los Angeles County, California","ca","140","00","ACSSF","0004438",,,,,"06","037",,,,"209401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4428,4428,53177.47,0.0832683394672099,4428,2314,2114,4428,224,458,335,246,411,609,688,626,327,277,125,102,32.9,32.4,33.3,4428,1798,394,124,519,6,1466,121,4428,1239,313,326,0,509,6,0,85,3189,1485,68,124,10,0,1466,36,1531,884,460,424,73,351,647,357,290,3411,1737,1071,105,210,288,2754,1173,757,483,266,75,0,0,235,14,221,24854,1636,1531,9,1522,1636,1531,105,105,74,0,31,1636,110,47,63,30,27,79,256,620,514,0,0,1950,1531,449,695,0,0,0,0,387,,880,35.5,,,,884,363,167,26,4,0,4,166,160,6,521,4178,430,690,767,821,630,840,4178,1887,1451,3338,840,4428,2160,2268,474,1794
"06037209402","14000US06037209402","Census Tract 2094.02","Census Tract 2094.02, Los Angeles County, California","ca","140","00","ACSSF","0004439",,,,,"06","037",,,,"209402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3945,3945,74999.1,0.0526006298098678,3945,2626,1319,3945,260,333,192,195,499,1016,649,385,218,150,21,27,29.7,29.8,28.8,3945,1467,125,76,53,0,2224,0,3945,335,262,29,0,44,0,0,0,3610,1205,96,76,9,0,2224,0,1196,771,200,571,330,241,425,324,101,3160,2262,657,36,118,87,2466,1815,332,152,125,8,17,17,239,89,150,31037,1311,1196,25,1171,1311,1196,115,115,54,14,47,1311,35,17,18,0,0,16,181,630,449,0,0,0,1196,591,249,0,0,0,0,356,,861,36,51,,,771,393,106,39,96,96,0,152,122,30,378,3945,836,466,583,711,677,672,3945,1885,1388,3273,672,3945,1230,2715,157,2558
"06037209403","14000US06037209403","Census Tract 2094.03","Census Tract 2094.03, Los Angeles County, California","ca","140","00","ACSSF","0004440",,,,,"06","037",,,,"209403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,3844,72040.42,0.0533589344815497,3844,2038,1806,3844,136,162,283,225,325,696,609,384,368,315,196,145,36.5,32.5,40.9,3844,1629,203,91,749,4,1168,0,3844,1184,228,203,0,749,4,0,0,2660,1401,0,91,0,0,1168,0,1357,672,326,346,153,193,685,347,338,3263,1985,738,100,168,272,2713,1499,413,431,273,75,15,7,201,16,185,22922,1393,1357,0,1357,1393,1357,36,36,36,0,0,1393,32,32,0,0,16,73,93,570,598,0,11,1960,1357,491,635,0,0,0,16,215,,740,38.5,,,,672,263,48,56,36,36,0,123,123,0,409,3702,470,340,688,900,530,774,3702,1498,1430,2928,774,3844,1313,2531,798,1733
"06037211000","14000US06037211000","Census Tract 2110","Census Tract 2110, Los Angeles County, California","ca","140","00","ACSSF","0004446",,,,,"06","037",,,,"211000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055,5055,4927.952,1.02578120053066,5055,2381,2674,5055,246,366,401,128,212,1022,672,577,759,496,110,66,38.2,38,38.3,5055,3242,112,2,928,0,313,458,5055,4638,3090,101,2,928,0,87,430,417,152,11,0,0,0,226,28,1872,1178,969,209,38,171,694,240,454,4042,1593,2020,14,224,191,3702,93,298,623,1674,655,301,58,178,0,178,133485,2150,1872,1255,617,2150,1872,278,278,77,5,196,2150,1386,1359,27,55,26,55,64,131,402,31,0,0,1872,1440,419,0,0,0,0,13,1699000,2195,27,24,26,10.5,1178,40,15,18,0,0,0,7,7,0,1138,5050,127,25,152,213,109,4424,5050,304,322,626,4424,5055,3904,1151,698,453
"06037211120","14000US06037211120","Census Tract 2111.20","Census Tract 2111.20, Los Angeles County, California","ca","140","00","ACSSF","0004447",,,,,"06","037",,,,"211120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738,5738,26206.94,0.218949663087242,5738,2420,3318,5738,255,206,153,169,569,1406,942,886,629,473,30,20,36.8,37.5,35.2,5738,724,268,169,3299,142,1114,22,5738,3926,202,268,8,3284,142,0,22,1812,522,0,161,15,0,1114,0,2461,1322,758,564,202,362,1139,479,660,5124,2447,1967,129,162,419,4386,881,895,946,1393,86,98,87,225,0,225,46231,2765,2461,177,2284,2765,2461,304,304,102,0,202,2765,96,48,48,9,37,71,351,784,1417,0,0,1977,2461,1021,1184,0,0,0,0,256,475000,1342,33.2000007629395,33.2999992370605,33.9000015258789,,1322,258,16,90,71,35,36,81,45,36,1064,5703,783,270,218,369,1222,2841,5703,1271,1591,2862,2841,5738,1886,3852,1452,2400
"06037211701","14000US06037211701","Census Tract 2117.01","Census Tract 2117.01, Los Angeles County, California","ca","140","00","ACSSF","0004457",,,,,"06","037",,,,"211701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744,2744,10908.26,0.251552516845638,2744,1257,1487,2744,218,101,224,91,101,388,518,339,377,185,145,57,39.4,35.9,39.8,2744,782,186,0,1620,0,62,94,2744,2642,772,157,0,1620,0,0,93,102,10,29,0,0,0,62,1,1108,701,566,135,25,110,407,135,272,2201,686,1248,22,95,150,2009,123,450,392,711,186,96,51,92,0,92,61897,1278,1108,229,879,1278,1108,170,170,0,0,170,1278,258,222,36,0,65,59,282,385,229,0,0,1957,1108,838,245,0,0,0,8,17,1639400,1788,33.2999992370605,18.1000003814697,36.9000015258789,9,701,79,0,39,0,0,0,40,12,28,622,2743,42,91,180,151,79,2200,2743,313,230,543,2200,2744,1439,1305,841,464
"06037211704","14000US06037211704","Census Tract 2117.04","Census Tract 2117.04, Los Angeles County, California","ca","140","00","ACSSF","0004459",,,,,"06","037",,,,"211704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2943,2943,41214.06,0.0714076667536684,2943,1407,1536,2943,125,106,66,66,218,791,456,404,244,191,243,33,37.4,36.1,38.7,2943,705,305,0,1485,0,323,125,2943,2353,454,289,0,1485,0,0,125,590,251,16,0,0,0,323,0,1576,626,411,215,36,179,950,420,530,2646,1288,888,107,161,202,2362,252,549,531,726,219,39,46,108,10,98,37172,1853,1576,177,1399,1853,1576,277,277,49,0,228,1853,29,29,0,0,45,59,251,620,849,0,0,1966,1576,823,655,11,0,0,18,69,410800,1254,35.9000015258789,28.5,29.1000003814697,17,626,59,8,20,0,0,0,31,22,9,567,2930,208,92,239,446,232,1713,2930,539,678,1217,1713,2943,1377,1566,811,755
"06037211802","14000US06037211802","Census Tract 2118.02","Census Tract 2118.02, Los Angeles County, California","ca","140","00","ACSSF","0004460",,,,,"06","037",,,,"211802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4463,4463,35521.05,0.125643825376797,4463,2330,2133,4463,146,403,186,71,218,945,821,594,617,263,166,33,37.9,37.7,38.2,4463,1006,257,25,1907,282,922,64,4463,3112,649,257,0,1877,282,7,40,1351,357,0,25,30,0,915,24,2113,1037,823,214,108,106,1076,561,515,3728,1556,1722,109,77,264,3439,638,659,731,1141,181,53,36,36,0,36,40625,2440,2113,260,1853,2440,2113,327,327,122,0,205,2440,8,0,8,9,0,73,429,896,1025,0,0,1964,2113,1282,731,0,0,0,0,100,370800,1179,37.5999984741211,39.4000015258789,51,18.2999992370605,1037,151,94,41,0,0,0,16,16,0,886,4455,205,72,580,415,975,2208,4455,857,1390,2247,2208,4463,1778,2685,1098,1587
"06037212101","14000US06037212101","Census Tract 2121.01","Census Tract 2121.01, Los Angeles County, California","ca","140","00","ACSSF","0004466",,,,,"06","037",,,,"212101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165,3165,44123.76,0.0717300620697856,3165,1515,1650,3165,101,114,137,63,404,844,460,404,261,300,35,42,33.9,32.1,35.7,3165,788,571,10,1386,0,234,176,3165,2348,277,509,0,1386,0,0,176,817,511,62,10,0,0,234,0,1426,615,315,300,126,174,811,391,420,2813,1673,793,95,136,116,2346,414,503,465,680,187,82,15,103,11,92,52652,1456,1426,104,1322,1456,1426,30,30,18,0,12,1456,0,0,0,18,48,0,122,386,882,0,0,1982,1426,826,480,0,0,0,27,93,573200,1492,34.4000015258789,29,30.7999992370605,15.3000001907349,615,98,9,7,21,12,9,61,61,0,517,3165,320,174,115,377,279,1900,3165,609,656,1265,1900,3165,1139,2026,872,1154
"06037212102","14000US06037212102","Census Tract 2121.02","Census Tract 2121.02, Los Angeles County, California","ca","140","00","ACSSF","0004467",,,,,"06","037",,,,"212102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301,2301,42981.54,0.0535346109711705,2301,1198,1103,2301,155,63,111,49,262,520,260,187,140,283,175,96,34.6,33.3,40.5,2301,451,369,37,1037,43,338,26,2301,1728,259,350,37,1014,43,8,17,573,192,19,0,23,0,330,9,1160,407,252,155,78,77,753,362,391,1972,1002,602,58,164,146,1661,247,352,527,357,118,44,16,45,0,45,27333,1425,1160,10,1150,1425,1160,265,265,54,0,211,1425,8,8,0,49,8,10,182,490,678,0,0,1959,1160,429,582,10,9,0,27,103,,1093,36.7000007629395,,,,407,59,8,10,30,0,30,11,0,11,348,2301,53,91,279,871,289,718,2301,423,1160,1583,718,2301,1082,1219,699,520
